material_id,composition,tc_pred_n0,tc_target
544,Ni20Zr80,2.7466506958007812,3.47
155,C8Rb1,4.4120073318481445,0.0241
163,Ca1Pb1,3.892129898071289,7.0
445,La7Ni3,2.1737208366394043,2.1
519,Nb2Pd1S5,2.9992337226867676,6.125
166,Ca1Pt1Si3,2.24141263961792,2.3
363,La1Ir1As1,3.2309179306030273,3.1
443,La6Zn1Sb15,3.0449070930480957,3.74
812,Zr1Os1Si1,3.2668848037719727,1.72
488,Mg1B2,4.936356544494629,33.0
71,B6Y1,6.147332668304443,6.641667
638,Re24Zr5,3.11995267868042,3.875
401,La1Rh1Si1,2.596379280090332,4.35
579,Pd1Sb1Se1,2.8729639053344727,1.0
706,Sr2Sc1Fe1P1O3,12.410147666931152,12.0
601,Pd2Y1Pb1,2.9303765296936035,2.3
316,Hg1Sr2La1Cu2O6,57.68484115600586,28.0
624,Pt1Sn4,1.607130527496338,2.38
49,B12Zr1,4.746573448181152,5.977143
653,Ru1Ti1,2.6598381996154785,1.07
89,Ba2Sn3Sb6,3.459969997406006,3.9
647,Rh2Sr1,2.096060276031494,6.2
790,Y3Os8B6,4.136552810668945,5.8
157,Ca1Ga1Si1,4.6169047355651855,4.2375
652,Ru1Sb1,2.6723127365112305,1.2
623,Pt1Sn1,1.599177360534668,0.37
146,C2Y1,5.300380229949951,3.8954287
124,Bi2Ni3Se2,4.031095504760742,0.73
756,Y1Fe2Si2,5.212516784667969,2.9
343,Ir2Sc1,2.922842502593994,1.55
489,Mg1C1Ni3,3.6964592933654785,6.91125
311,Hg1Ba2Ca3Cu4O10,130.69078063964844,123.5
370,La1Mo6Se8,3.918867588043213,11.233334
540,Nd1Rh4B4,3.9210143089294434,5.3233333
76,Ba1Hg1,5.019680976867676,2.32
684,Sm1Rh4B4,4.008362293243408,2.6475
135,Bi3La4,3.545081615447998,0.155
659,S1Se1Ta1,4.673664093017578,3.7
207,Ce1Rh2Si2,2.5244569778442383,0.35666665
436,La3S4,3.832451820373535,7.846667
429,La3Pd4Ge4,2.395779609680176,2.4933333
259,Ga1La3,4.18117618560791,5.82
202,Ce1Pd5Al2,2.4973044395446777,0.735
444,La7Ir3,2.392648220062256,2.33
9,Al1Sc1Au2,3.068612575531006,4.4
88,Ba2Cu1O4,21.540578842163086,48.0
243,Dy1Rh2Ir2B4,3.668560028076172,4.53
625,Pt1Ti3,2.161591053009033,0.58
437,La3Sb3Y1,4.204612731933594,0.13
597,Pd2Sn1,1.5964856147766113,0.41
152,C6Yb1,7.103666305541992,6.4966664
503,Mo4Re2Te8,3.6145143508911133,3.5
744,Tm1Ba2Cu3O7,74.25751495361328,91.2
600,Pd2Tm1Sn1,3.130887508392334,2.82
441,La4Sb3,3.4532089233398438,0.25
170,Ca1Tl3,4.050930976867676,2.04
222,Cr3Rh1,2.813795566558838,0.07
129,Bi2Sr2Ca1Cu2O10,85.74677276611328,110.0
409,La1Ru4P12,3.0395078659057617,6.923333
592,Pd2Hf1Al1,3.1506800651550293,3.5833333
341,Ir2La1,2.256342887878418,0.48
701,Sr1Pt1As1,2.839911460876465,2.425
66,B2Zr1,4.900396347045898,5.5
153,C8Cs1,4.146894454956055,0.135
423,La3Co4Sn13,3.167466163635254,2.425
371,La1Ni1As1O1,4.951940536499023,2.71
770,Y1Pt1Bi1,2.901315212249756,0.9066667
672,Sc5Co4Si10,3.6560044288635254,4.81
516,Nb25Ti50Mo25,4.340420722961426,4.3
46,B12Lu1,7.200197219848633,0.435
344,Ir2Sr1,2.3388195037841797,5.7
473,Lu1Ru4B4,5.067817687988281,2.0
227,Cu1La1,3.1329402923583984,6.0
174,Ca3Co4Sn13,3.2840018272399902,5.75
453,Li2B1Pt3,2.6875553131103516,1.86
20,Al6Re1,3.5974159240722656,1.85
458,Lu1Ba2Cu3O7,66.37782287597656,88.155
746,Tm1Ir4B4,4.691075325012207,1.675
675,Se1Y1,4.965229034423828,3.25
509,Na1Pb3,3.1468868255615234,5.62
299,Hf1Os2,3.35569429397583,2.27
709,Sr3Rh4Sn13,2.6174750328063965,4.2166667
45,Au5Sn1,1.3644332885742188,0.9
350,Ir5La1,2.0243234634399414,2.13
607,Pd4Se1,2.2239503860473633,0.42
342,Ir2Lu1,3.412271022796631,2.47
156,Ca1Fe2As2,35.61174392700195,11.8
700,Sr1Pd2Ge2,2.454097270965576,2.892
760,Y1Ni1Ge3,2.9001808166503906,0.46
728,Ti1Se2,3.567697048187256,1.8
296,Hf1N1Cl1,4.577265739440918,25.5
743,Tl3Y1,4.661000728607178,1.52
602,Pd2Y1Sn1,2.734753131866455,4.55
668,Sc1Ru4B4,4.351492881774902,7.27
317,Hg2K1,4.437391757965088,1.2
793,Y5Ir4Ge10,2.907658100128174,2.76
411,La1Sb2,3.1193389892578125,0.8
631,Rb1Fe2As2,7.675677299499512,2.38
389,La1Pd2P2,2.4374375343322754,0.75
546,Ni2Hf1Ga1,4.3178205490112305,1.12
635,Re1Ta1,3.7277612686157227,1.3
781,Y2Cl2C2,7.354501724243164,2.3
425,La3Ni1,2.064723491668701,3.6
778,Y1Ru4B4,4.605156421661377,1.4
6,Al1Mo3,3.625443935394287,0.58
537,Nd1Ba2Cu3O7,63.519073486328125,91.62035
278,Gd1Ba2Cu3O7,71.74901580810547,89.762
169,Ca1Si3,3.0029845237731934,4.25
397,La1Pt4Ge12,2.1583518981933594,8.253333
200,Ce1Pd1Bi1,2.406421661376953,1.3
175,Ca3Ir4Ge13,2.369630813598633,1.7
421,La2Rh3Sn5,2.527568817138672,1.85
671,Sc4Rh6Ge19,2.777892589569092,1.9
737,Tl1La1Sr1Cu1O5,30.277809143066406,34.0
95,Ba8Ge46,2.4303603172302246,10.0
716,Ta1Rh1P1,2.9885854721069336,4.635
82,Ba1Rh2P2,2.712329864501953,1.0
186,Ce1Au2Si2,2.459693431854248,2.0516667
696,Sr1Ni2Ge2,3.0292186737060547,0.8825
62,B2Os1,3.6956653594970703,2.13
543,Ni1Zr3,2.8217849731445312,3.35
717,Ta1Ru1Si1,3.274209976196289,3.15
228,Cu1Mo6Se8,3.1306967735290527,5.9
641,Re2Y1,3.7346224784851074,1.83
40,Au1Zr3,2.7077417373657227,0.92
738,Tl1Ni2Se2,4.088911533355713,3.7
799,Yb1Ba2Cu3O7,79.92926788330078,90.7
304,Hf1Ru1P1,3.420419692993164,11.796667
194,Ce1Ir1Ge3,2.413278579711914,1.61
797,Y6Nb4Al43,5.077884197235107,0.86
354,K1Ni2Se2,4.15895938873291,0.8
65,B2Ta1,4.890412330627441,9.5
306,Hf2Ni1,3.0221028327941895,0.87
735,Tl1Ba2Ca3Cu4O11,91.88397216796875,118.05
769,Y1Pd2Sn1,2.734753131866455,4.9933333
538,Nd1Mo6S8,4.757198333740234,3.5
81,Ba1Rh2,2.0382118225097656,6.0
763,Y1Os1B4,4.400102615356445,1.4
126,Bi2Rb1,3.876283645629883,4.25
357,K2Mo15Se19,4.523641109466553,2.1
386,La1Pd2Al3,2.811189651489258,0.85
31,Au1Ga1,2.7925868034362793,1.2
237,Dy1Ba2Cu3O7,71.28364562988281,86.13182
650,Rh3Y1,2.559473991394043,1.07
498,Mo3Os1,3.0657949447631836,11.0225
359,La1Bi1Pt1,2.436938762664795,0.9
78,Ba1Ni2P2,3.4391608238220215,2.6866667
212,Ce2Ni3Ge5,2.6280198097229004,0.22
802,Yb1Mo6Se8,8.348642349243164,6.0
551,Ni2Zr1Ga1,4.099367618560791,2.87
26,As2Mo1,4.233108043670654,0.41
348,Ir3La7,2.392648220062256,2.28
634,Re1Ge2,2.6845412254333496,2.7
424,La3Ir4Sn13,2.687106132507324,2.55
452,Li2B1Pd3,2.861931800842285,7.61
