material_id,composition,tc
111,Bi1La2,0.76
496,Mo2Ir1B2,3.6
744,Tm1Ba2Cu3O7,91.2
766,Y1Pd2P2,0.96
275,Ga5V2,3.57
523,Nb3Rh1,2.7423333333333333
271,Ga3Lu1,2.25
107,Be5Pt1,2.3
10,Al25Nb75,17.5
73,Ba1Al1Sn1,2.9
23,As1Rh1,0.58
769,Y1Pd2Sn1,4.993333333333333
309,Hg1Ba2Ca1Cu2O6,119.75625
517,Nb2As1C1,2.0
756,Y1Fe2Si2,2.9
71,B6Y1,6.641666666666667
492,Mo1Ni1P1,15.5
42,Au2In1Y1,1.74
659,S1Se1Ta1,3.7
495,Mo2B1C1,7.5
190,Ce1Co2,1.1125
661,Sb1V3,0.65
87,Ba2Bi3,4.44
703,Sr1Sn3Sb4,3.9
239,Dy1Ga6,5.9
727,Ti1Ru1P1,1.315
384,La1Pb3,4.086666666666667
89,Ba2Sn3Sb6,3.9
362,La1Fe4P12,4.1000000000000005
442,La5Ru2,2.35
491,Mg4Al1Si3,5.2
238,Dy1Ba2Cu4O8,74.46666666666667
167,Ca1Rb1Fe4As4,35.0
268,Ga25Nb75,17.6
604,Pd2Yb1Sn1,2.39
223,Cs1Fe2As2,2.08
279,Gd1Ba2Cu3S1O6,92.0
138,Bi3Ni1,3.935
185,Cd2Re2O7,1.1028571428571428
467,Lu1Pt1Bi1,1.0
158,Ca1Ge3,6.8
785,Y2Ir3Si5,3.005
117,Bi1Pt1Se1,1.45
441,La4Sb3,0.25
372,La1Ni1B1N1,3.92
241,Dy1Mo6S8,1.6
780,Y2C2I2,9.985
386,La1Pd2Al3,0.85
627,Pt2Y1,2.835
163,Ca1Pb1,7.0
642,Re2Zr1,6.366666666666667
100,Be22Mo1,2.5275
345,Ir2Y1,1.6350000000000002
412,La1Si10,6.7
674,Sc5Rh4Si10,8.405
403,La1Rh1Sn1,1.9166666666666667
293,Ge5La1,7.0
108,Bi14Rh3,2.85
524,Nb3Sb1,2.2
525,Nb3Se4,1.9425
54,B1Mo2,5.483333333333333
664,Sc1Ir1P1,3.46
299,Hf1Os2,2.27
559,P1Pd3,0.35
699,Sr1Pd2As2,0.92
755,Y1Fe2Ge2,1.155
49,B12Zr1,5.977142857142858
283,Ge1Pt1,0.4
482,Lu3Ru4Ge13,2.3
488,Mg1B2,33.0
462,Lu1Os1B2,2.66
209,Ce1Ru3B2,1.1
218,Co1Si2,1.3066666666666666
808,Zn2Zr1,0.4449999999999999
401,La1Rh1Si1,4.35
737,Tl1La1Sr1Cu1O5,34.0
120,Bi2Cs1,4.75
277,Ga7Pt3,2.9
125,Bi2Pd3Se2,0.96
770,Y1Pt1Bi1,0.9066666666666666
261,Ga1Nb3,16.88888888888889
36,Au1Pb3,4.325
500,Mo3Sb7,2.97
233,Cu1Se1Te1,1.9
155,C8Rb1,0.0241
257,Fe2As2Sr4V2O6,27.0
303,Hf1Rh1Si1,2.3
458,Lu1Ba2Cu3O7,88.155
672,Sc5Co4Si10,4.81
438,La3Se4,8.325999999999999
332,In3Mo15Se19,3.32
460,Lu1Ni1B1C1,2.786666666666666
457,Li3Mo15Se19,3.5
678,Si3W5,2.7
361,La1Fe1P1O1,5.878461538461538
405,La1Rh3B2,2.57
778,Y1Ru4B4,1.4
649,Rh3Bi14,2.94
330,In3La1,0.7
32,Au1Ga40Mo8,9.4
490,Mg2Zn11,0.88
555,Os2Sc1,4.6
131,Bi2Sr2Cu1O6,8.9625
590,Pd1Zr2,2.36
786,Y2Ni1Ge3,0.533
145,C2Mo1Re1,3.8
663,Sb2Yb1,1.3
747,Tm1Ni2B2C1,10.732222222222225
567,Pb1Zr3,0.76
745,Tm1Ba2Cu4O8,79.42
404,La1Rh2Si2,1.658
731,Ti2In1N1,7.3
691,Sr1Au1Si3,1.65
736,Tl1Ba2Cu1O5,55.0
274,Ga41Mo8,9.7
451,Li1Pb1,7.2
24,As1Sn1,3.755
683,Sm1Fe1P1O1,2.5
617,Pr1Ru4P12,1.8
516,Nb25Ti50Mo25,4.3
741,Tl1V6S8,4.1
341,Ir2La1,0.48
319,Ho1Ba2Cu3O7,91.97777777777776
558,P1Pb1,7.8
794,Y5Ir4Si10,2.9066666666666667
421,La2Rh3Sn5,1.85
670,Sc2Fe3Si5,4.57
557,Os2Zr1,2.95
398,La1Rh1Al1,2.4
269,Ga2La1,1.15
593,Pd2In1Y1,1.04
