material_id,composition,tc
428,La3Ni4Si4,0.96
444,La7Ir3,2.33
584,Pd1Sn2,3.34
307,Hf2Rh1,1.72
603,Pd2Yb1Pb1,2.65
761,Y1Ni2B2C1,14.852380952380951
203,Ce1Pt1Si2,0.14
227,Cu1La1,6.0
813,Zr1Pd2Al1,3.4
386,La1Pd2Al3,0.85
398,La1Rh1Al1,2.4
298,Hf1Os1P1,5.815
263,Ga1Pt1,1.74
555,Os2Sc1,4.6
279,Gd1Ba2Cu3S1O6,92.0
521,Nb3Os2,1.78
782,Y2Fe1C4,3.6
633,Rb1V6S8,0.65
609,Pr1Ba2Cu3O7,91.0
531,Nb4Fe1Si1,6.8
365,La1Ir1Si1,2.3
532,Nb4Ni1Si1,7.7
88,Ba2Cu1O4,48.0
30,Au1Be1,1.775
795,Y5Os4Ge10,8.946666666666667
747,Tm1Ni2B2C1,10.732222222222225
546,Ni2Hf1Ga1,1.12
577,Pd17Se15,2.2
672,Sc5Co4Si10,4.81
232,Cu1Se1Te,1.6
354,K1Ni2Se2,0.8
723,Tc2Zr1,7.6
471,Lu1Ru2,1.545
601,Pd2Y1Pb1,2.3
819,Zr2Ru3Si4,5.7
377,La1Ni1Si1,1.23
287,Ge2Lu1,2.6
286,Ge2La1,1.9766666666666668
413,La1Si2,2.4
457,Li3Mo15Se19,3.5
67,B3Re7,3.19
729,Ti1V1,6.09
664,Sc1Ir1P1,3.46
683,Sm1Fe1P1O1,2.5
522,Nb3Pt1,9.516428571428571
273,Ga3Zr5,3.85
762,Y1Os1B2,2.22
178,Ca3Rh4Ge13,2.1
492,Mo1Ni1P1,15.5
312,Hg1Ba2Cu1O4,76.21785714285714
505,Mo6S6Br2,13.4
757,Y1In3,0.96
79,Ba1Pt1Si3,1.875
359,La1Bi1Pt1,0.9
638,Re24Zr5,3.875
542,Ni1Zr2,1.981666666666667
348,Ir3La7,2.28
689,Sr1Al1Ge1,6.7
556,Os2Y1,4.7
277,Ga7Pt3,2.9
32,Au1Ga40Mo8,9.4
304,Hf1Ru1P1,11.796666666666669
313,Hg1In1,3.81
720,Ta4Pd3Te16,4.38
772,Y1Rh2Sn1,4.1
694,Sr1Ga1Si1,5.0
118,Bi1Pt1Te1,1.15
166,Ca1Pt1Si3,2.3
475,Lu1Se1,0.56
12,Al2C1Mo3,9.025
233,Cu1Se1Te1,1.9
9,Al1Sc1Au2,4.4
798,Y6Ta4Al43,0.68
578,Pd1Sb1,1.58
717,Ta1Ru1Si1,3.15
367,La1Ir2Ge2,1.5
451,Li1Pb1,7.2
366,La1Ir1Si3,1.4733333333333334
99,Be17Nb2,1.47
426,La3Ni2B2N3,13.0325
292,Ge3Y1,2.35
634,Re1Ge2,2.7
393,La1Pt1Si1,3.8333333333333335
173,Ca2Sr2Cu3Ga1O9,73.0
680,Sm1Ba2Cu3O7,80.35
205,Ce1Rh1In5,1.85875
501,Mo3Si1,1.402
752,Y1Ba2Cu3O7,85.4697909090909
169,Ca1Si3,4.25
131,Bi2Sr2Cu1O6,8.9625
533,Nb50Zr25Hf25,10.1
769,Y1Pd2Sn1,4.993333333333333
412,La1Si10,6.7
750,Tm5Ir4Si10,1.9
777,Y1Ru3Si2,3.51
714,Ta1Ir1Si1,0.5
594,Pd2Lu1Pb1,2.4
322,Ho1Rh4B4,1.4
709,Sr3Rh4Sn13,4.216666666666667
780,Y2C2I2,9.985
177,Ca3Ir4Sn13,6.95
703,Sr1Sn3Sb4,3.9
706,Sr2Sc1Fe1P1O3,12.0
666,Sc1Pd2Sn1,2.145
726,Ti1Rh1Si1,5.1
766,Y1Pd2P2,0.96
589,Pd1V3,0.081
1,Ag1La1,1.0733333333333333
149,C60Ca5,8.4
525,Nb3Se4,1.9425
811,Zr1Os1As1,8.0
565,Pb1Mo6S4Se4,3.2
436,La3S4,7.846666666666667
294,Ge7Ir3,0.87
33,Au1In2,0.22
129,Bi2Sr2Ca1Cu2O10,110.0
83,Ba1Sn3,4.3
51,B1Hf1,3.1
679,Si3Y1,4.63
163,Ca1Pb1,7.0
472,Lu1Ru2Si2,2.4
612,Pr1Mo6S8,2.55
372,La1Ni1B1N1,3.92
223,Cs1Fe2As2,2.08
508,Na1Al1Si1,7.2
60,B2Mg1,35.56130434782609
456,Li2Pt3B1,2.728
708,Sr3Ir4Sn13,5.016666666666667
97,Ba8Si42Cu4,2.9
172,Ca2Pt3Si5,1.3
737,Tl1La1Sr1Cu1O5,34.0
336,Ir1Mo3,8.030999999999999
28,As2W1,0.9
461,Lu1Ni2B2C1,15.880666666666666
267,Ga1Zr2,0.38
437,La3Sb3Y1,0.13
400,La1Rh1Sb1,2.1
335,In3Y1,0.78
364,La1Ir1P1,5.3
815,Zr1Ru1As1,8.716666666666667
639,Re2Sc1,2.565
424,La3Ir4Sn13,2.55
318,Hg2Na1,1.62
520,Nb2Sn1C1,5.9
733,Tl1Ba1Sr1Ca2Cu3O9,101.0
150,C6Ca1,11.303
114,Bi1Na1,2.25
478,Lu2Fe3Si5,5.492222222222222
230,Cu1Rh2Se4,3.4625
296,Hf1N1Cl1,25.5
342,Ir2Lu1,2.47
643,Rh17S15,5.5200000000000005
749,Tm2Fe3Si5,1.8433333333333333
319,Ho1Ba2Cu3O7,91.97777777777776
206,Ce1Rh1Si3,0.914
773,Y1Rh4B4,10.95775
665,Sc1Os1B2,1.34
814,Zr1Rh1P1,1.525
518,Nb2In1C1,7.5
740,Tl1Sr2Ca1Cu2O7,59.4
570,Pb2Sr2Dy1Cu3O8,76.5
579,Pd1Sb1Se1,1.0
732,Ti50V50,6.15
259,Ga1La3,5.82
181,Cd1C1Ni3,3.1333333333333333
681,Sm1Ba2Cu4O8,69.3
401,La1Rh1Si1,4.35
339,Ir1Ti3,5.1850000000000005
800,Yb1Ba2Cu4O8,78.8
510,Nb1P1S1,12.5
496,Mo2Ir1B2,3.6
615,Pr1Pt4Ge12,7.876
331,In3Lu1,0.24
432,La3Rh2Ge2,3.5
566,Pb1Ta1Se2,3.695
251,Er2Fe3Si5,0.93
421,La2Rh3Sn5,1.85
152,C6Yb1,6.496666666666666
148,C3Y2,14.85625
449,La9Br5B3C6,6.0
144,C1S1,9.0
389,La1Pd2P2,0.75
54,B1Mo2,5.483333333333333
68,B3Ru7,2.98
29,As3La4,6.5
396,La1Pt3Si1,0.6
295,H4Si1,17.0
116,Bi1Pd1Te1,1.2
503,Mo4Re2Te8,3.5
561,P1Zr3,4.5
741,Tl1V6S8,4.1
31,Au1Ga1,1.2
135,Bi3La4,0.155
652,Ru1Sb1,1.2
115,Bi1Pd1Se1,1.0
84,Ba1Ti2Bi2O1,4.6
453,Li2B1Pt3,1.86
551,Ni2Zr1Ga1,2.87
713,Ta1Ge2,2.3
255,Fe1P1Sr2Sc1O3,15.0
650,Rh3Y1,1.07
626,Pt2Sr1,0.7
280,Gd1Ba2Cu4O8,73.28571428571429
128,Bi2Sr2Ca1Cu2I1O8,69.35
338,Ir1Sn2,0.7150000000000001
604,Pd2Yb1Sn1,2.39
196,Ce1Ir1Si3,1.53
623,Pt1Sn1,0.37
572,Pb3Sr1,1.85
464,Lu1Os3B2,4.655
760,Y1Ni1Ge3,0.46
302,Hf1Rh1,1.73
778,Y1Ru4B4,1.4
660,Sb1Ta3,0.72
748,Tm1Pd2Sn1,1.92
605,Pd2Zr1Al1,3.2
402,La1Rh1Si3,2.245
247,Er1Ir4B4,2.22
235,Cu4K1S3,1.4
677,Si3Sr2,0.55
151,C6Sr1,1.65
751,V2Ir1B2,1.12
191,Ce1Cu2Ge2,1.32
754,Y1Ba2Cu3S1O6,89.5
557,Os2Zr1,2.95
628,Pt2Y8,0.9
661,Sb1V3,0.65
343,Ir2Sc1,1.5499999999999998
327,In1V6S8,3.9
134,Bi3In5,4.189
